District,Latitude,Longitude,Shop_type,OP_time,Ultra_food,Per_ultra,Ready_food,CERE,WHITE,VITAMINV,VITAMINRT,DARKV,OTHERV,VITAMINF,OTHERF,ORGANM,FLESHM,FISH,INSECTSV,EGGS,MILK,NUTS,LEGUM,OILF,SWEETS,SAB,OUT_CER
2,21.018425,105.84132,2,4,1,70,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.007725,105.833119,2,4,1,70,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,21.022881,105.815906,2,4,1,70,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
2,21.027572,105.840264,4,4,1,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
2,21.022268,105.822143,5,4,1,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,21.005853,105.833029,3,1,1,80,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
2,21.020502,105.825934,5,1,1,80,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
2,21.01318,105.819749,2,2,1,80,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,21.033351,105.809923,3,2,1,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
2,21.019709,105.826819,2,3,1,80,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2,21.025885,105.839893,4,3,1,80,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
2,21.021066,105.82188,4,4,1,80,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0
2,21.012835,105.823134,5,4,1,80,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,21.01143,105.828885,4,4,1,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
2,21.012695,105.828349,4,4,1,85,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0
2,21.016776,105.830565,3,3,1,90,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
2,21.101897,105.83,4,4,1,90,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
2,21.012436,105.823527,5,4,1,90,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
2,21.013631,105.833404,2,2,1,95,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
